food_name,category,serving_size,calories,protein,carbs,fat,dietary_preference
Roti (Whole Wheat),Staple,1 piece (40g),120,3.5,22,1.5,Vegetarian
"Rice (White, Cooked)",Staple,1 cup (150g),200,4.0,45,0.5,Vegetarian
Dal Tadka,Lentil Dish,1 bowl (200g),180,9.0,20,8.0,Vegetarian
Chole Masala,Main Dish,1 bowl (200g),220,8.0,30,9.0,Vegetarian
Butter Chicken,Main Dish,1 bowl (200g),350,20.0,10,25.0,Non-Vegetarian
Pani Puri,Snack,6 pieces (120g),150,3.0,25,5.0,Vegetarian
Samosa,Snack,1 piece (100g),260,4.0,30,14.0,Vegetarian
Idli,Breakfast,2 pieces (100g),140,4.0,28,1.0,Vegetarian
Dosa (Plain),Breakfast,1 piece (100g),160,4.0,30,2.0,Vegetarian
Masala Dosa,Breakfast,1 piece (150g),250,6.0,40,8.0,Vegetarian
Poha,Breakfast,1 plate (150g),180,4.0,30,5.0,Vegetarian
Paratha (Plain),Staple,1 piece (80g),220,5.0,30,9.0,Vegetarian
Aloo Paratha,Breakfast,1 piece (120g),280,6.0,40,12.0,Vegetarian
Chicken Biryani,Main Dish,1 plate (250g),400,20.0,50,15.0,Non-Vegetarian
Vegetable Biryani,Main Dish,1 plate (250g),300,8.0,50,8.0,Vegetarian
Pav Bhaji,Main Dish,1 plate (200g),250,6.0,35,10.0,Vegetarian
Rajma Masala,Main Dish,1 bowl (200g),200,8.0,30,6.0,Vegetarian
Palak Paneer,Main Dish,1 bowl (200g),250,10.0,15,18.0,Vegetarian
Paneer Butter Masala,Main Dish,1 bowl (200g),300,12.0,15,22.0,Vegetarian
Fish Curry (Rohu),Main Dish,1 bowl (200g),220,18.0,8,12.0,Non-Vegetarian
Mutton Rogan Josh,Main Dish,1 bowl (200g),350,20.0,10,25.0,Non-Vegetarian
Vada Pav,Snack,1 piece (120g),250,5.0,35,10.0,Vegetarian
Dhokla,Snack,2 pieces (100g),150,5.0,25,4.0,Vegetarian
Upma,Breakfast,1 plate (150g),200,5.0,35,5.0,Vegetarian
Bhel Puri,Snack,1 plate (100g),180,4.0,30,6.0,Vegetarian
Tandoori Chicken,Main Dish,1 piece (100g),200,20.0,2,12.0,Non-Vegetarian
Chicken Tikka,Main Dish,4 pieces (120g),220,22.0,5,12.0,Non-Vegetarian
Vegetable Pulao,Main Dish,1 plate (200g),250,6.0,40,8.0,Vegetarian
Naan,Staple,1 piece (100g),300,7.0,50,8.0,Vegetarian
Butter Naan,Staple,1 piece (100g),350,7.0,50,12.0,Vegetarian
Sambar,Lentil Dish,1 bowl (200g),150,6.0,20,5.0,Vegetarian
Rasam,Soup,1 bowl (200g),80,2.0,15,2.0,Vegetarian
Aloo Gobi,Main Dish,1 bowl (200g),180,4.0,25,8.0,Vegetarian
Baingan Bharta,Main Dish,1 bowl (200g),150,3.0,20,7.0,Vegetarian
Prawn Curry,Main Dish,1 bowl (200g),250,18.0,10,15.0,Non-Vegetarian
Egg Curry,Main Dish,1 bowl (200g),200,12.0,15,10.0,Non-Vegetarian
Chana Chaat,Snack,1 plate (150g),200,7.0,30,6.0,Vegetarian
Medu Vada,Breakfast,2 pieces (100g),180,5.0,25,8.0,Vegetarian
Misal Pav,Main Dish,1 plate (200g),250,8.0,35,10.0,Vegetarian
Kheer,Dessert,1 bowl (150g),200,5.0,30,8.0,Vegetarian
Gulab Jamun,Dessert,2 pieces (100g),300,4.0,50,12.0,Vegetarian
Jalebi,Dessert,2 pieces (80g),250,3.0,45,10.0,Vegetarian
Lassi,Beverage,1 glass (200ml),150,4.0,20,6.0,Vegetarian
Masala Chai,Beverage,1 cup (150ml),100,2.0,15,4.0,Vegetarian
Coconut Chutney,Condiment,2 tbsp (30g),60,1.0,5,5.0,Vegetarian
Mint Chutney,Condiment,2 tbsp (30g),40,1.0,5,2.0,Vegetarian
