food_name,category,serving_size,calories,protein,carbs,fat,dietary_preference,source
Roti (Whole Wheat),Staple,1 piece (40g),120,3.5,22,1.5,Vegetarian,INDIAN
"Rice (White, Cooked)",Staple,1 cup (150g),200,4.0,45,0.5,Vegetarian,INDIAN
Dal Tadka,Lentil Dish,1 bowl (200g),180,9.0,20,8.0,Vegetarian,INDIAN
Chole Masala,Main Dish,1 bowl (200g),220,8.0,30,9.0,Vegetarian,INDIAN
Butter Chicken,Main Dish,1 bowl (200g),350,20.0,10,25.0,Non-Vegetarian,INDIAN
Pani Puri,Snack,6 pieces (120g),150,3.0,25,5.0,Vegetarian,INDIAN
Samosa,Snack,1 piece (100g),260,4.0,30,14.0,Vegetarian,INDIAN
Idli,Breakfast,2 pieces (100g),140,4.0,28,1.0,Vegetarian,INDIAN
Dosa (Plain),Breakfast,1 piece (100g),160,4.0,30,2.0,Vegetarian,INDIAN
Masala Dosa,Breakfast,1 piece (150g),250,6.0,40,8.0,Vegetarian,INDIAN
Poha,Breakfast,1 plate (150g),180,4.0,30,5.0,Vegetarian,INDIAN
Paratha (Plain),Staple,1 piece (80g),220,5.0,30,9.0,Vegetarian,INDIAN
Aloo Paratha,Breakfast,1 piece (120g),280,6.0,40,12.0,Vegetarian,INDIAN
Chicken Biryani,Main Dish,1 plate (250g),400,20.0,50,15.0,Non-Vegetarian,INDIAN
Vegetable Biryani,Main Dish,1 plate (250g),300,8.0,50,8.0,Vegetarian,INDIAN
Pav Bhaji,Main Dish,1 plate (200g),250,6.0,35,10.0,Vegetarian,INDIAN
Rajma Masala,Main Dish,1 bowl (200g),200,8.0,30,6.0,Vegetarian,INDIAN
Palak Paneer,Main Dish,1 bowl (200g),250,10.0,15,18.0,Vegetarian,INDIAN
Paneer Butter Masala,Main Dish,1 bowl (200g),300,12.0,15,22.0,Vegetarian,INDIAN
Fish Curry (Rohu),Main Dish,1 bowl (200g),220,18.0,8,12.0,Non-Vegetarian,INDIAN
Mutton Rogan Josh,Main Dish,1 bowl (200g),350,20.0,10,25.0,Non-Vegetarian,INDIAN
Vada Pav,Snack,1 piece (120g),250,5.0,35,10.0,Vegetarian,INDIAN
Dhokla,Snack,2 pieces (100g),150,5.0,25,4.0,Vegetarian,INDIAN
Upma,Breakfast,1 plate (150g),200,5.0,35,5.0,Vegetarian,INDIAN
Bhel Puri,Snack,1 plate (100g),180,4.0,30,6.0,Vegetarian,INDIAN
Tandoori Chicken,Main Dish,1 piece (100g),200,20.0,2,12.0,Non-Vegetarian,INDIAN
Chicken Tikka,Main Dish,4 pieces (120g),220,22.0,5,12.0,Non-Vegetarian,INDIAN
Vegetable Pulao,Main Dish,1 plate (200g),250,6.0,40,8.0,Vegetarian,INDIAN
Naan,Staple,1 piece (100g),300,7.0,50,8.0,Vegetarian,INDIAN
Butter Naan,Staple,1 piece (100g),350,7.0,50,12.0,Vegetarian,INDIAN
Sambar,Lentil Dish,1 bowl (200g),150,6.0,20,5.0,Vegetarian,INDIAN
Rasam,Soup,1 bowl (200g),80,2.0,15,2.0,Vegetarian,INDIAN
Aloo Gobi,Main Dish,1 bowl (200g),180,4.0,25,8.0,Vegetarian,INDIAN
Baingan Bharta,Main Dish,1 bowl (200g),150,3.0,20,7.0,Vegetarian,INDIAN
Prawn Curry,Main Dish,1 bowl (200g),250,18.0,10,15.0,Non-Vegetarian,INDIAN
Egg Curry,Main Dish,1 bowl (200g),200,12.0,15,10.0,Non-Vegetarian,INDIAN
Chana Chaat,Snack,1 plate (150g),200,7.0,30,6.0,Vegetarian,INDIAN
Medu Vada,Breakfast,2 pieces (100g),180,5.0,25,8.0,Vegetarian,INDIAN
Misal Pav,Main Dish,1 plate (200g),250,8.0,35,10.0,Vegetarian,INDIAN
Kheer,Dessert,1 bowl (150g),200,5.0,30,8.0,Vegetarian,INDIAN
Gulab Jamun,Dessert,2 pieces (100g),300,4.0,50,12.0,Vegetarian,INDIAN
Jalebi,Dessert,2 pieces (80g),250,3.0,45,10.0,Vegetarian,INDIAN
Lassi,Beverage,1 glass (200ml),150,4.0,20,6.0,Vegetarian,INDIAN
Masala Chai,Beverage,1 cup (150ml),100,2.0,15,4.0,Vegetarian,INDIAN
Coconut Chutney,Condiment,2 tbsp (30g),60,1.0,5,5.0,Vegetarian,INDIAN
Mint Chutney,Condiment,2 tbsp (30g),40,1.0,5,2.0,Vegetarian,INDIAN
Tamarind Chutney,Condiment,2 tbsp (30g),60,0.5,15,0.5,Vegetarian,INDIAN
Biryani Masala,Spice Mix,1 tsp (5g),15,0.5,3,0.5,Vegetarian,INDIAN
Garam Masala,Spice Mix,1 tsp (5g),10,0.5,2,0.5,Vegetarian,INDIAN
Mango Pickle,Condiment,1 tbsp (15g),30,0.5,5,2.0,Vegetarian,INDIAN
Papad,Snack,1 piece (15g),50,2.0,6,2.0,Vegetarian,INDIAN
Raita,Side Dish,1 bowl (100g),80,3.0,10,3.0,Vegetarian,INDIAN
Vegetable Korma,Main Dish,1 bowl (200g),220,6.0,25,12.0,Vegetarian,INDIAN
Chicken Korma,Main Dish,1 bowl (200g),300,18.0,15,18.0,Non-Vegetarian,INDIAN
Bhindi Masala,Main Dish,1 bowl (200g),180,4.0,20,10.0,Vegetarian,INDIAN
Dahi Vada,Snack,2 pieces (150g),200,6.0,25,10.0,Vegetarian,INDIAN
Pongal,Breakfast,1 plate (200g),220,6.0,35,7.0,Vegetarian,INDIAN
Kesari,Dessert,1 bowl (100g),200,3.0,30,8.0,Vegetarian,INDIAN
Sev Puri,Snack,6 pieces (120g),180,4.0,25,8.0,Vegetarian,INDIAN
Chicken 65,Snack,4 pieces (120g),250,18.0,10,15.0,Non-Vegetarian,INDIAN
Mysore Pak,Dessert,1 piece (50g),200,3.0,25,12.0,Vegetarian,INDIAN
Puri,Staple,2 pieces (80g),200,4.0,25,10.0,Vegetarian,INDIAN
Aloo Tikki,Snack,2 pieces (100g),200,4.0,30,8.0,Vegetarian,INDIAN
Methi Thepla,Snack,2 pieces (100g),220,5.0,30,10.0,Vegetarian,INDIAN
Kadhi,Lentil Dish,1 bowl (200g),150,5.0,20,6.0,Vegetarian,INDIAN
Pakora,Snack,4 pieces (100g),200,4.0,25,10.0,Vegetarian,INDIAN
Vegetable Samosa,Snack,1 piece (100g),250,4.0,30,12.0,Vegetarian,INDIAN
Mutton Biryani,Main Dish,1 plate (250g),420,22.0,50,18.0,Non-Vegetarian,INDIAN
Fish Fry (Pomfret),Main Dish,1 piece (100g),220,18.0,5,14.0,Non-Vegetarian,INDIAN
Chicken Curry,Main Dish,1 bowl (200g),280,20.0,10,18.0,Non-Vegetarian,INDIAN
Palak Dal,Lentil Dish,1 bowl (200g),180,8.0,20,8.0,Vegetarian,INDIAN
Gajar Halwa,Dessert,1 bowl (100g),250,4.0,35,12.0,Vegetarian,INDIAN
Rasgulla,Dessert,2 pieces (100g),200,5.0,35,6.0,Vegetarian,INDIAN
Chole Bhature,Main Dish,1 plate (200g),400,10.0,50,20.0,Vegetarian,INDIAN
Uttapam,Breakfast,1 piece (150g),200,5.0,35,6.0,Vegetarian,INDIAN
Kachori,Snack,1 piece (80g),220,4.0,25,12.0,Vegetarian,INDIAN
Vegetable Fried Rice,Main Dish,1 plate (200g),220,5.0,40,6.0,Vegetarian,INDIAN
Egg Bhurji,Main Dish,1 plate (150g),200,12.0,10,12.0,Non-Vegetarian,INDIAN
Paneer Tikka,Main Dish,4 pieces (120g),250,12.0,10,18.0,Vegetarian,INDIAN
Shahi Paneer,Main Dish,1 bowl (200g),300,12.0,15,20.0,Vegetarian,INDIAN
Mutton Curry,Main Dish,1 bowl (200g),350,20.0,10,25.0,Non-Vegetarian,INDIAN
Pesarattu,Breakfast,1 piece (150g),200,6.0,30,7.0,Vegetarian,INDIAN
Sabudana Khichdi,Breakfast,1 plate (150g),250,3.0,40,10.0,Vegetarian,INDIAN
Aloo Matar,Main Dish,1 bowl (200g),180,5.0,25,8.0,Vegetarian,INDIAN
Keema Pav,Main Dish,1 plate (200g),350,18.0,35,15.0,Non-Vegetarian,INDIAN
